date,keyword,search_interest
2025-08-03,breathwork,5
2025-08-10,breathwork,5
2025-08-17,breathwork,5
2021-01-03,guided meditation,6
2021-01-10,guided meditation,6
2021-01-24,guided meditation,6
2021-01-17,meditation,100
2021-01-03,meditation,99
2022-01-30,meditation,98
2025-08-10,mindfulness,31
2025-08-17,mindfulness,30
2025-08-31,mindfulness,30
2023-01-15,yoga nidra,4
2023-01-22,yoga nidra,4
2023-02-12,yoga nidra,4
