date,keyword,search_interest
2024-04-07,yoga nidra,70
2024-04-14,breathwork,50
2024-04-14,guided meditation,56
2024-04-14,meditation,66
2024-04-14,mindfulness,61
2024-04-14,yoga nidra,70
2024-04-21,breathwork,53
2024-04-21,guided meditation,50
2024-04-21,meditation,72
2024-04-21,mindfulness,58
2024-04-21,yoga nidra,70
2024-04-28,breathwork,52
2024-04-28,guided meditation,49
2024-04-28,meditation,71
2024-04-28,mindfulness,59
2024-04-28,yoga nidra,66
2024-05-05,breathwork,49
2024-05-05,guided meditation,49
2024-05-05,meditation,66
2024-05-05,mindfulness,58
2024-05-05,yoga nidra,66
2024-05-12,breathwork,49
2024-05-12,guided meditation,49
2024-05-12,meditation,67
2024-05-12,mindfulness,58
2024-05-12,yoga nidra,67
2024-05-19,breathwork,48
2024-05-19,guided meditation,50
2024-05-19,meditation,68
2024-05-19,mindfulness,58
2024-05-19,yoga nidra,64
2024-05-26,breathwork,46
2024-05-26,guided meditation,48
2024-05-26,meditation,67
2024-05-26,mindfulness,52
2024-05-26,yoga nidra,67
2024-06-02,breathwork,47
2024-06-02,guided meditation,49
2024-06-02,meditation,64
2024-06-02,mindfulness,57
2024-06-02,yoga nidra,65
2024-06-09,breathwork,47
2024-06-09,guided meditation,49
2024-06-09,meditation,68
2024-06-09,mindfulness,55
2024-06-09,yoga nidra,69
2024-06-16,breathwork,50
2024-06-16,guided meditation,50
2024-06-16,meditation,67
2024-06-16,mindfulness,53
2024-06-16,yoga nidra,67
2024-06-23,breathwork,52
2024-06-23,guided meditation,50
2024-06-23,meditation,65
2024-06-23,mindfulness,51
2024-06-23,yoga nidra,68
2024-06-30,breathwork,47
2024-06-30,guided meditation,45
2024-06-30,meditation,64
2024-06-30,mindfulness,50
2024-06-30,yoga nidra,67
2024-07-07,breathwork,51
2024-07-07,guided meditation,48
2024-07-07,meditation,67
2024-07-07,mindfulness,51
2024-07-07,yoga nidra,68
2024-07-14,breathwork,48
2024-07-14,guided meditation,49
2024-07-14,meditation,66
2024-07-14,mindfulness,51
2024-07-14,yoga nidra,67
2024-07-21,breathwork,48
2024-07-21,guided meditation,49
2024-07-21,meditation,65
2024-07-21,mindfulness,51
2024-07-21,yoga nidra,63
2024-07-28,breathwork,50
2024-07-28,guided meditation,49
2024-07-28,meditation,65
2024-07-28,mindfulness,49
2024-07-28,yoga nidra,66
2024-08-04,breathwork,50
2024-08-04,guided meditation,49
2024-08-04,meditation,68
2024-08-04,mindfulness,47
2024-08-04,yoga nidra,65
2024-08-11,breathwork,53
2024-08-11,guided meditation,51
2024-08-11,meditation,68
2024-08-11,mindfulness,52
2024-08-11,yoga nidra,69
2024-08-18,breathwork,54
2024-08-18,guided meditation,47
2024-08-18,meditation,68
2024-08-18,mindfulness,55
2024-08-18,yoga nidra,64
2024-08-25,breathwork,48
2024-08-25,guided meditation,50
2024-08-25,meditation,67
2024-08-25,mindfulness,57
2024-08-25,yoga nidra,76
2024-09-01,breathwork,51
2024-09-01,guided meditation,48
2024-09-01,meditation,69
2024-09-01,mindfulness,60
2024-09-01,yoga nidra,79
2024-09-08,breathwork,48
2024-09-08,guided meditation,52
2024-09-08,meditation,69
2024-09-08,mindfulness,65
2024-09-08,yoga nidra,70
2024-09-15,breathwork,49
2024-09-15,guided meditation,51
2024-09-15,meditation,69
2024-09-15,mindfulness,64
2024-09-15,yoga nidra,77
2024-09-22,breathwork,50
2024-09-22,guided meditation,46
2024-09-22,meditation,68
2024-09-22,mindfulness,64
2024-09-22,yoga nidra,91
2024-09-29,breathwork,53
2024-09-29,guided meditation,46
2024-09-29,meditation,65
2024-09-29,mindfulness,64
2024-09-29,yoga nidra,78
2024-10-06,breathwork,49
2024-10-06,guided meditation,50
2024-10-06,meditation,67
2024-10-06,mindfulness,67
2024-10-06,yoga nidra,81
2024-10-13,breathwork,50
2024-10-13,guided meditation,45
2024-10-13,meditation,66
2024-10-13,mindfulness,64
2024-10-13,yoga nidra,81
2024-10-20,breathwork,53
2024-10-20,guided meditation,47
2024-10-20,meditation,66
2024-10-20,mindfulness,62
2024-10-20,yoga nidra,73
2024-10-27,breathwork,52
2024-10-27,guided meditation,50
2024-10-27,meditation,62
2024-10-27,mindfulness,62
2024-10-27,yoga nidra,72
2024-11-03,breathwork,51
2024-11-03,guided meditation,47
2024-11-03,meditation,66
2024-11-03,mindfulness,76
2024-11-03,yoga nidra,71
2024-11-10,breathwork,54
2024-11-10,guided meditation,50
2024-11-10,meditation,70
2024-11-10,mindfulness,77
2024-11-10,yoga nidra,79
2024-11-17,breathwork,54
2024-11-17,guided meditation,50
2024-11-17,meditation,65
2024-11-17,mindfulness,74
2024-11-17,yoga nidra,75
2024-11-24,breathwork,58
2024-11-24,guided meditation,48
2024-11-24,meditation,63
2024-11-24,mindfulness,66
2024-11-24,yoga nidra,76
2024-12-01,breathwork,52
2024-12-01,guided meditation,49
2024-12-01,meditation,65
2024-12-01,mindfulness,67
2024-12-01,yoga nidra,73
2024-12-08,breathwork,50
2024-12-08,guided meditation,50
2024-12-08,meditation,65
2024-12-08,mindfulness,63
2024-12-08,yoga nidra,72
2024-12-15,breathwork,48
2024-12-15,guided meditation,44
2024-12-15,meditation,68
2024-12-15,mindfulness,50
2024-12-15,yoga nidra,71
2024-12-22,breathwork,41
2024-12-22,guided meditation,40
2024-12-22,meditation,62
2024-12-22,mindfulness,37
2024-12-22,yoga nidra,58
2024-12-29,breathwork,53
2024-12-29,guided meditation,51
2024-12-29,meditation,71
2024-12-29,mindfulness,45
2024-12-29,yoga nidra,71
2025-01-05,breathwork,59
2025-01-05,guided meditation,49
2025-01-05,meditation,70
2025-01-05,mindfulness,59
2025-01-05,yoga nidra,70
2025-01-12,breathwork,61
2025-01-12,guided meditation,53
2025-01-12,meditation,74
2025-01-12,mindfulness,63
2025-01-12,yoga nidra,71
2025-01-19,breathwork,58
2025-01-19,guided meditation,51
2025-01-19,meditation,75
2025-01-19,mindfulness,59
2025-01-19,yoga nidra,70
2025-01-26,breathwork,58
2025-01-26,guided meditation,50
2025-01-26,meditation,72
2025-01-26,mindfulness,62
2025-01-26,yoga nidra,81
2025-02-02,breathwork,60
2025-02-02,guided meditation,52
2025-02-02,meditation,70
2025-02-02,mindfulness,62
2025-02-02,yoga nidra,73
2025-02-09,breathwork,63
2025-02-09,guided meditation,49
2025-02-09,meditation,68
2025-02-09,mindfulness,63
2025-02-09,yoga nidra,72
2025-02-16,breathwork,56
2025-02-16,guided meditation,52
2025-02-16,meditation,68
2025-02-16,mindfulness,64
2025-02-16,yoga nidra,73
2025-02-23,breathwork,58
2025-02-23,guided meditation,51
2025-02-23,meditation,69
2025-02-23,mindfulness,65
2025-02-23,yoga nidra,72
2025-03-02,breathwork,56
2025-03-02,guided meditation,52
2025-03-02,meditation,67
2025-03-02,mindfulness,62
2025-03-02,yoga nidra,71
2025-03-09,breathwork,54
2025-03-09,guided meditation,48
2025-03-09,meditation,65
2025-03-09,mindfulness,60
2025-03-09,yoga nidra,70
2025-03-16,breathwork,60
2025-03-16,guided meditation,48
2025-03-16,meditation,68
2025-03-16,mindfulness,62
2025-03-16,yoga nidra,72
2025-03-23,breathwork,59
2025-03-23,guided meditation,49
2025-03-23,meditation,65
2025-03-23,mindfulness,64
2025-03-23,yoga nidra,76
2025-03-30,breathwork,58
2025-03-30,guided meditation,52
2025-03-30,meditation,70
2025-03-30,mindfulness,60
2025-03-30,yoga nidra,71
2025-04-06,breathwork,59
2025-04-06,guided meditation,50
2025-04-06,meditation,66
2025-04-06,mindfulness,59
2025-04-06,yoga nidra,66
2025-04-13,breathwork,54
2025-04-13,guided meditation,44
2025-04-13,meditation,62
2025-04-13,mindfulness,52
2025-04-13,yoga nidra,64
2025-04-20,breathwork,57
2025-04-20,guided meditation,48
2025-04-20,meditation,69
2025-04-20,mindfulness,54
2025-04-20,yoga nidra,73
2025-04-27,breathwork,56
2025-04-27,guided meditation,47
2025-04-27,meditation,63
2025-04-27,mindfulness,59
2025-04-27,yoga nidra,70
2025-05-04,breathwork,53
2025-05-04,guided meditation,48
2025-05-04,meditation,62
2025-05-04,mindfulness,60
2025-05-04,yoga nidra,68
2025-05-11,breathwork,56
2025-05-11,guided meditation,45
2025-05-11,meditation,60
2025-05-11,mindfulness,59
2025-05-11,yoga nidra,64
2025-05-18,breathwork,54
2025-05-18,guided meditation,44
2025-05-18,meditation,62
2025-05-18,mindfulness,53
2025-05-18,yoga nidra,65
2025-05-25,breathwork,58
2025-05-25,guided meditation,46
2025-05-25,meditation,58
2025-05-25,mindfulness,53
2025-05-25,yoga nidra,66
2025-06-01,breathwork,60
2025-06-01,guided meditation,49
2025-06-01,meditation,65
2025-06-01,mindfulness,56
2025-06-01,yoga nidra,71
2025-06-08,breathwork,59
2025-06-08,guided meditation,46
2025-06-08,meditation,64
2025-06-08,mindfulness,59
2025-06-08,yoga nidra,68
2025-06-15,breathwork,56
2025-06-15,guided meditation,48
2025-06-15,meditation,63
2025-06-15,mindfulness,57
2025-06-15,yoga nidra,65
2025-06-22,breathwork,58
2025-06-22,guided meditation,45
2025-06-22,meditation,66
2025-06-22,mindfulness,55
2025-06-22,yoga nidra,70
2025-06-29,breathwork,55
2025-06-29,guided meditation,44
2025-06-29,meditation,61
2025-06-29,mindfulness,50
2025-06-29,yoga nidra,67
2025-07-06,breathwork,57
2025-07-06,guided meditation,49
2025-07-06,meditation,68
2025-07-06,mindfulness,60
2025-07-06,yoga nidra,65
2025-07-13,breathwork,59
2025-07-13,guided meditation,65
2025-07-13,meditation,69
2025-07-13,mindfulness,58
2025-07-13,yoga nidra,71
2025-07-20,breathwork,60
2025-07-20,guided meditation,73
2025-07-20,meditation,77
2025-07-20,mindfulness,82
2025-07-20,yoga nidra,67
2025-07-27,breathwork,66
2025-07-27,guided meditation,92
2025-07-27,meditation,73
2025-07-27,mindfulness,64
2025-07-27,yoga nidra,73
2025-08-03,breathwork,86
2025-08-03,guided meditation,94
2025-08-03,meditation,78
2025-08-03,mindfulness,71
2025-08-03,yoga nidra,78
2025-08-10,breathwork,98
2025-08-10,guided meditation,90
2025-08-10,meditation,81
2025-08-10,mindfulness,87
2025-08-10,yoga nidra,80
2025-08-17,breathwork,100
2025-08-17,guided meditation,99
2025-08-17,meditation,88
2025-08-17,mindfulness,100
2025-08-17,yoga nidra,83
