date,keyword,search_interest
2021-06-13,mindfulness,57
2021-06-13,yoga nidra,56
2021-06-20,breathwork,21
2021-06-20,guided meditation,78
2021-06-20,meditation,82
2021-06-20,mindfulness,58
2021-06-20,yoga nidra,58
2021-06-27,breathwork,20
2021-06-27,guided meditation,71
2021-06-27,meditation,76
2021-06-27,mindfulness,55
2021-06-27,yoga nidra,57
2021-07-04,breathwork,19
2021-07-04,guided meditation,69
2021-07-04,meditation,78
2021-07-04,mindfulness,54
2021-07-04,yoga nidra,61
2021-07-11,breathwork,22
2021-07-11,guided meditation,72
2021-07-11,meditation,76
2021-07-11,mindfulness,56
2021-07-11,yoga nidra,66
2021-07-18,breathwork,20
2021-07-18,guided meditation,75
2021-07-18,meditation,81
2021-07-18,mindfulness,54
2021-07-18,yoga nidra,63
2021-07-25,breathwork,21
2021-07-25,guided meditation,78
2021-07-25,meditation,82
2021-07-25,mindfulness,52
2021-07-25,yoga nidra,64
2021-08-01,breathwork,22
2021-08-01,guided meditation,75
2021-08-01,meditation,72
2021-08-01,mindfulness,53
2021-08-01,yoga nidra,55
2021-08-08,breathwork,20
2021-08-08,guided meditation,79
2021-08-08,meditation,79
2021-08-08,mindfulness,56
2021-08-08,yoga nidra,55
2021-08-15,breathwork,21
2021-08-15,guided meditation,78
2021-08-15,meditation,79
2021-08-15,mindfulness,56
2021-08-15,yoga nidra,61
2021-08-22,breathwork,21
2021-08-22,guided meditation,72
2021-08-22,meditation,78
2021-08-22,mindfulness,55
2021-08-22,yoga nidra,62
2021-08-29,breathwork,21
2021-08-29,guided meditation,79
2021-08-29,meditation,77
2021-08-29,mindfulness,57
2021-08-29,yoga nidra,60
2021-09-05,breathwork,24
2021-09-05,guided meditation,75
2021-09-05,meditation,82
2021-09-05,mindfulness,58
2021-09-05,yoga nidra,54
2021-09-12,breathwork,21
2021-09-12,guided meditation,78
2021-09-12,meditation,84
2021-09-12,mindfulness,63
2021-09-12,yoga nidra,51
2021-09-19,breathwork,24
2021-09-19,guided meditation,76
2021-09-19,meditation,84
2021-09-19,mindfulness,61
2021-09-19,yoga nidra,57
2021-09-26,breathwork,24
2021-09-26,guided meditation,71
2021-09-26,meditation,80
2021-09-26,mindfulness,59
2021-09-26,yoga nidra,61
2021-10-03,breathwork,24
2021-10-03,guided meditation,79
2021-10-03,meditation,83
2021-10-03,mindfulness,61
2021-10-03,yoga nidra,63
2021-10-10,breathwork,25
2021-10-10,guided meditation,79
2021-10-10,meditation,81
2021-10-10,mindfulness,60
2021-10-10,yoga nidra,60
2021-10-17,breathwork,26
2021-10-17,guided meditation,73
2021-10-17,meditation,80
2021-10-17,mindfulness,62
2021-10-17,yoga nidra,59
2021-10-24,breathwork,21
2021-10-24,guided meditation,82
2021-10-24,meditation,78
2021-10-24,mindfulness,57
2021-10-24,yoga nidra,56
2021-10-31,breathwork,21
2021-10-31,guided meditation,75
2021-10-31,meditation,79
2021-10-31,mindfulness,58
2021-10-31,yoga nidra,52
2021-11-07,breathwork,24
2021-11-07,guided meditation,75
2021-11-07,meditation,82
2021-11-07,mindfulness,63
2021-11-07,yoga nidra,59
2021-11-14,breathwork,25
2021-11-14,guided meditation,76
2021-11-14,meditation,82
2021-11-14,mindfulness,60
2021-11-14,yoga nidra,59
2021-11-21,breathwork,24
2021-11-21,guided meditation,66
2021-11-21,meditation,80
2021-11-21,mindfulness,54
2021-11-21,yoga nidra,50
2021-11-28,breathwork,23
2021-11-28,guided meditation,70
2021-11-28,meditation,78
2021-11-28,mindfulness,58
2021-11-28,yoga nidra,52
2021-12-05,breathwork,21
2021-12-05,guided meditation,72
2021-12-05,meditation,79
2021-12-05,mindfulness,56
2021-12-05,yoga nidra,59
2021-12-12,breathwork,21
2021-12-12,guided meditation,73
2021-12-12,meditation,78
2021-12-12,mindfulness,52
2021-12-12,yoga nidra,50
2021-12-19,breathwork,17
2021-12-19,guided meditation,72
2021-12-19,meditation,74
2021-12-19,mindfulness,41
2021-12-19,yoga nidra,53
2021-12-26,breathwork,23
2021-12-26,guided meditation,72
2021-12-26,meditation,78
2021-12-26,mindfulness,43
2021-12-26,yoga nidra,49
2022-01-02,breathwork,29
2022-01-02,guided meditation,82
2022-01-02,meditation,89
2022-01-02,mindfulness,61
2022-01-02,yoga nidra,57
2022-01-09,breathwork,29
2022-01-09,guided meditation,75
2022-01-09,meditation,86
2022-01-09,mindfulness,64
2022-01-09,yoga nidra,59
2022-01-16,breathwork,25
2022-01-16,guided meditation,66
2022-01-16,meditation,79
2022-01-16,mindfulness,65
2022-01-16,yoga nidra,56
2022-01-23,breathwork,28
2022-01-23,guided meditation,73
2022-01-23,meditation,80
